,Company,"Company, City, State, ZIP",Fatality or Catastrophe,Inspection #,Preliminary Description of Incident,Summary Report Date,Unnamed: 4,Victim(s),date,place,lat,lng
1790,"R & L Carriers,, Birmingham, AL 35217",,,,Worker was crushed between a truck and a loading dock.,03/05/11,,,03/02/11,"R & L Carriers,, Birmingham, AL 35217",33.6333639,-86.7309123
1791,"Quick Pak Inc.,, Sharonville, OH 45246",,,,Worker was found after falling 30 feet from an elevated lift.,03/05/11,,,03/03/11,"Quick Pak Inc.,, Sharonville, OH 45246",39.2946063,-84.43728759999999
1792,"Boudier Brothers Construction Group, Inc.,, Violet, LA 70092",,,,Worker doing masonry to cover an opening between a house wall and its foundation was electrocuted when worker came in contact with a set of cables.,03/05/11,,,03/08/11,"Boudier Brothers Construction Group, Inc.,, Violet, LA 70092",29.9098381,-89.8961315
1793,"Sauced on Paseo, LLC,, Oklahoma City, OK 73103",,,,"Worker was using an electric material hoist to move beer to a lower level when the overloaded hoist failed and struck the worker, coming to rest 8 feet below.",03/12/11,,,03/04/11,"Sauced on Paseo, LLC,, Oklahoma City, OK 73103",35.4989053,-97.5216354
1794,"Manson Mowat a Joint Venture,, Bremerton, WA 98310",,,,Worker was operating a hoist on a spud barge when a piece of the winch came loose and struck him on the head.,03/12/11,,,03/05/11,"Manson Mowat a Joint Venture,, Bremerton, WA 98310",47.5940141,-122.6200119
1795,"U.S. Postal Service,, Dundee, MI 48131",,,,Worker delivering mail was crushed when a concrete porch collapsed.,03/12/11,,,03/08/11,"U.S. Postal Service,, Dundee, MI 48131",41.9555501,-83.6581495
1796,"Estis Well Service, LLC,, Plaquemine, LA 70764",,,,"Working was positioning a pipe into a hole on a derrick when the pipe shifted, striking the worker, and pinning him between the rig and mud tank.",03/12/11,,,03/09/11,"Estis Well Service, LLC,, Plaquemine, LA 70764",29.99133599999999,-91.861627
1797,"General Supply & Services, Inc.,, Pompano Beach, FL 33064",,,,Worker was unloading a truck in the parking lot and was run over by a delivery truck.,03/12/11,,,03/10/11,"General Supply & Services, Inc.,, Pompano Beach, FL 33064",26.2778776,-80.09756039999999
1798,"Georgia Power Company,, Claxton, GA 30458",,,,Worker was climbing down a power line transmission structure when he fell to the ground.,03/12/11,,,03/10/11,"Georgia Power Company,, Claxton, GA 30458",32.1621942,-81.9070327
1799,"Ultra Building Services,, The Woodlands, TX 77381",,,,Worker operating an electric floor buffer in the building was found unconscious and non-responsive by building security.,03/12/11,,,03/10/11,"Ultra Building Services,, The Woodlands, TX 77381",29.63259,-95.597371
1800,"Westfalia Technologies, Inc.,, Tampa, FL 33612",,,,"Worker was replacing chains on a storage retrieval machine when a vertical lift station came crashing down, striking the worker.",03/12/11,,,03/11/11,"Westfalia Technologies, Inc.,, Tampa, FL 33612",28.049868,-82.42476979999999
1801,"Paolella Pro-Fitting, Inc., Newark, NJ 07105",,,,Worker was killed after being run over by a highway milling machine.,03/19/11,,,09/11/10,"Paolella Pro-Fitting, Inc., Newark, NJ 07105",40.7341437,-74.1310651
1802,"DL Cattle LLC., Parks, NE 69041",,,,Worker was asphyxiated after being engulfed in a grain bin.,03/19/11,,,01/11/11,"DL Cattle LLC., Parks, NE 69041",40.0428682,-101.7254011
1803,"Airco Service, Inc., Tulsa, OK 74146",,,,Worker died after falling 15 feet through a snow-covered skylight.,03/19/11,,,02/09/11,"Airco Service, Inc., Tulsa, OK 74146",36.079083,-95.849749
1804,"Coastal Crane & Rigging, Inc., Savannah, GA 31419",,,,Worker was killed after falling from a boom truck platform.,03/19/11,,,02/16/11,"Coastal Crane & Rigging, Inc., Savannah, GA 31419",31.97346499999999,-81.222842
1805,"Ceres Gulf Inc., New Orleans, LA 70115",,,,"One worker was killed, another injured after the tire they were removing blew off the axle.",03/19/11,,,02/25/11,"Ceres Gulf Inc., New Orleans, LA 70115",29.9132818,-90.10061230000001
1806,"Elm Farms Incorporated, Okawville, IL 62271",,,,Two workers were electrocuted after lifting an aluminum pipe to free a raccoon and hitting an overhead power line.,03/19/11,,,03/03/11,"Elm Farms Incorporated, Okawville, IL 62271",38.4342163,-89.5503676
1807,"American Hardwood Industries/Graham Lumber Company, Fulton, MS 38843",,,,"Worker, who was fixing a chipper motor, was electrocuted after contacting a live wire.",03/19/11,,,03/04/11,"American Hardwood Industries/Graham Lumber Company, Fulton, MS 38843",34.3335016,-88.3205918
1808,"Premier Logging, LLC., Plaucheville, LA 71329",,,,Worker died after being run over by a road grader.,03/19/11,,,03/04/11,"Premier Logging, LLC., Plaucheville, LA 71329",30.9293557,-91.94789689999999
1809,"Koch Specialty Plant Services, Inc., Norco, LA 70079",,,,Worker performing maintenance on a tower died after becoming unconscious from hydrogen sulfide exposure and falling 100 feet.,03/19/11,,,03/06/11,"Koch Specialty Plant Services, Inc., Norco, LA 70079",30.0120186,-90.4085286
1810,"Reithoffer Shows, Inc., North Fort Myers, FL 33917",,,,Worker disassembling a fair/carnival ride was found unresponsive.,03/19/11,,,03/06/11,"Reithoffer Shows, Inc., North Fort Myers, FL 33917",26.728322,-81.88115499999999
1811,"Barnesville Bus Company, Barnesville, MN 56514",,,,Business co-owner was killed after being crushed by facility's garage door.,03/19/11,,,03/07/11,"Barnesville Bus Company, Barnesville, MN 56514",46.6447349,-96.4176766
1812,"John Deere PEC Waterloo, IA 50702",,,,"Worker ejected from, then pinned under tractor, after losing control and striking a utility pole.",03/19/11,,,03/10/11,"John Deere PEC Waterloo, IA 50702",42.47577460000001,-92.42046239999999
1813,"5J Oilfield Services, LLC., Stanton, TX 79782",,,,Worker was killed when caught between a tractor trailer and forklift.,03/19/11,,,03/11/11,"5J Oilfield Services, LLC., Stanton, TX 79782",32.1314284,-101.8030809
1814,"Asplundh Tree Expert Co., Greenup, KY 41144",,,,Worker struck by falling tree.,03/19/11,,,03/11/11,"Asplundh Tree Expert Co., Greenup, KY 41144",38.5731349,-82.83016769999999
1815,"Nassau Co PD Bureau of Special Operations, N. Bellmore, NY 11710",,,,Plain clothes police officer mistaken for a perpetrator and shot by a uniformed officer.,03/19/11,,,03/12/11,"Nassau Co PD Bureau of Special Operations, N. Bellmore, NY 11710",40.6894691,-73.5411919
1816,"NYCPD 84th PCT Brooklyn, NY 11201",,,,Police officer fell 9 feet after being pushed over railing by suspect.,03/19/11,,,03/13/11,"NYCPD 84th PCT Brooklyn, NY 11201",40.6954412,-73.9829003
1817,"Walt Disney World Co., Lake Buena Vista, FL 32830",,,,Worker testing a roller coaster was struck and killed by one of the coaster�s carts.,03/19/11,,,03/13/11,"Walt Disney World Co., Lake Buena Vista, FL 32830",28.385233,-81.563874
1818,"Express Commercial Services of Texas, Plano, TX 75093",,,,Worker operating a street sweeper was struck and killed by two cars that were street racing.,03/19/11,,,03/14/11,"Express Commercial Services of Texas, Plano, TX 75093",33.0422305,-96.8305979
1819,"JKS Ventures, Inc., Melrose Park, IL 60160",,,,Worker was crushed between a forklift and bale of compressed cardboard.,03/19/11,,,03/14/11,"JKS Ventures, Inc., Melrose Park, IL 60160",41.8962754,-87.8802899
1820,"United Space Alliance, Kennedy Space Center, FL 32899-0001",,,,Worker died after an apparent 215-foot fall from a space shuttle launch structure.,03/19/11,,,03/14/11,"United Space Alliance, Kennedy Space Center, FL 32899-0001",28.5728722,-80.64898079999999
1821,"Vesuvius Chicago Heights Plant, Chicago Heights, IL 60411",,,,Worker unclogging a bin died after falling 30 feet onto railroad tracks.,03/19/11,,,03/14/11,"Vesuvius Chicago Heights Plant, Chicago Heights, IL 60411",41.5235128,-87.61400599999999
1822,"Composite Rigging Limited and Company, North Kingstown, RI 02852",,,,Worker died after being struck on the head by a sailboat rigging cable.,03/19/11,,,03/15/11,"Composite Rigging Limited and Company, North Kingstown, RI 02852",41.603554,-71.4782524
1823,"Century Lighting, Sacramento, CA 95834",,,,Worker died after being crushed between a store ceiling and aerial device basket.,03/19/11,,,03/16/11,"Century Lighting, Sacramento, CA 95834",38.9506342,-121.0851436
1824,"Devine Intermodal, Sacramento, CA 95691",,,,"Worker, who was assisting a vehicle, was struck and killed by another vehicle.",03/19/11,,,03/17/11,"Devine Intermodal, Sacramento, CA 95691",38.561541,-121.5733629
1825,"Empire State Cardboard Paper Recycling Corp., Maspeth, NY 11378",,,,Worker was crushed between a trailer and a parking lot sweeper.,03/19/11,,,03/17/11,"Empire State Cardboard Paper Recycling Corp., Maspeth, NY 11378",40.7240992,-73.916871
1826,"Gilchrist Construction, Alexandria, LA 71302",,,,Worker employed as a traffic flagger was struck and killed by a truck.,03/19/11,,,03/18/11,"Gilchrist Construction, Alexandria, LA 71302",31.2505344,-92.4334602
1827,"Butterville Farms, LLC., Adams, NY 13605",,,,Worker died after sustaining crushing injuries while working in a cow barn.,03/19/11,,,03/20/11,"Butterville Farms, LLC., Adams, NY 13605",43.8433666,-76.0946666
1828,"Triumph Aerostructures Vought Aircraft Division, Grand Prairie, TX 75211",,,,Worker died after falling from a tractor trailer while trying to secure materials.,03/26/11,,,01/10/11,"Triumph Aerostructures Vought Aircraft Division, Grand Prairie, TX 75211",32.5273414,-96.7992603
1829,"Witmer Mulch, Willow Street, PA 17584",,,,Worker was killed after being struck in the head by a mulch hopper.,03/26/11,,,03/02/11,"Witmer Mulch, Willow Street, PA 17584",39.999646,-76.2771154
1830,"Reeco Well Services, Inc., Lovington, NM 88260",,,,One worker killed and three workers injured from a fire at an oil well rig.,03/26/11,,,03/09/11,"Reeco Well Services, Inc., Lovington, NM 88260",32.699786,-103.203189
1831,"Valley Transportation, Inc., Hueytown, AL 35023",,,,Worker was struck and run over by a moving truck.,03/26/11,,,03/14/11,"Valley Transportation, Inc., Hueytown, AL 35023",33.4219905,-86.9838389
1832,"ACTV Inc., Bolivar, MO 65613",,,,Worker was electrocuted after contacting a power line while putting up advertisement signs.,03/26/11,,,03/16/11,"ACTV Inc., Bolivar, MO 65613",37.6144838,-93.4104749
1833,"Drywall Systems Plus, Inc., Fort Knox, KY 40121",,,,Worker died after being struck by a fallen metal wall panel.,03/26/11,,,03/17/11,"Drywall Systems Plus, Inc., Fort Knox, KY 40121",37.9161043,-85.9562469
1834,"City of Cathedral City- Police Dept., Cathedral City, CA 92262",,,,Officer crashed during a vehicle pursuit.,03/26/11,,,03/18/11,"City of Cathedral City- Police Dept., Cathedral City, CA 92262",33.7813891,-116.4641156
1835,"P & C Construction, Santa Fe, TX 77510",,,,Worker performing steel erection died after falling 50 feet from collapsed beams and columns.,03/26/11,,,03/18/11,"P & C Construction, Santa Fe, TX 77510",29.416544,-95.110957
1836,"Richard McKenzie & Sons, Inc., Frostproof, FL 33843",,,,Worker was ejected from and run over by a front-end loader.,03/26/11,,,03/18/11,"Richard McKenzie & Sons, Inc., Frostproof, FL 33843",27.7425692,-81.53021799999999
1837,"T. K. Stanley, Beaumont, TX 77713",,,,Worker was crushed between two derricks sections.,03/26/11,,,03/19/11,"T. K. Stanley, Beaumont, TX 77713",30.0534127,-94.14661810000001
1838,"Yellow Cab of Lexington, Lexington, KY 40510",,,,Worker found shot in cab.,03/26/11,,,03/20/11,"Yellow Cab of Lexington, Lexington, KY 40510",38.0765476,-84.59557319999999
1839,"Woodall Electric, Inc., Moselle, MS 39459",,,,Worker was electrocuted after contacting live lighting parts.,03/26/11,,,03/21/11,"Woodall Electric, Inc., Moselle, MS 39459",31.5040073,-89.28054039999999
1840,"Baldwin Paving Company, Inc., Marietta, GA 30060",,,,Worker was pinned between asphalt roller and a dumpster.,03/26/11,,,03/22/11,"Baldwin Paving Company, Inc., Marietta, GA 30060",33.97884,-84.56644399999999
1841,"Emjay Environmental Recycling, Ltd., Brentwood, NY 11717",,,,Worker was caught in a machine.,03/26/11,,,03/23/11,"Emjay Environmental Recycling, Ltd., Brentwood, NY 11717",40.7730731,-73.2899307
1842,"SAE Vinyl Siding, Cincinnati, OH 45251",,,,Worker setting up a scaffold system was electrocuted when the pole contacted an overhead utility line.,03/26/11,,,03/23/11,"SAE Vinyl Siding, Cincinnati, OH 45251",39.2730168,-84.5903367
1843,"Thieman Stampling Co., New Bremen, OH 45869",,,,Worker was found dead on the floor of a welding shop.,03/26/11,,,03/23/11,"Thieman Stampling Co., New Bremen, OH 45869",40.465316,-84.35684499999999
1844,"Fuentes Enterprises, Inc., West Springfield, MA 01089",,,,Worker was killed after a cigarette lighter used to check the level of a 55-gal. drum of flammable liquid ignited the liquid's vapor and exploded. Worker died from burns and blunt head trauma.,04/02/11,,,03/23/11,"Fuentes Enterprises, Inc., West Springfield, MA 01089",42.1325005,-72.62501019999999
1845,"R,R, Donnelley, Willard, OH 44888-0002",,,,Worker positioning rolls of paper stock into a printing press collasped and later died. Cause of death is undetermined at this time.,04/02/11,,,03/23/11,"R,R, Donnelley, Willard, OH 44888-0002",41.0436855,-82.71245739999999
1846,"Russell Engineering, Sunrise, FL 33322",,,,Worker picking up roadway debris was run over and killed by an asphalt paving roller.,04/02/11,,,03/24/11,"Russell Engineering, Sunrise, FL 33322",26.0768448,-80.1751836
1847,"Hamm Company, Perry, KS 66073",,,,Worker was struck and killed by a vehicle in a shop parking lot.,04/02/11,,,03/25/11,"Hamm Company, Perry, KS 66073",39.079602,-95.38891300000002
1848,"Vo's Auto Repair, Gresham, OR 97030",,,,Worker inspecting car bearings was crushed after car began moving.,04/02/11,,,03/25/11,"Vo's Auto Repair, Gresham, OR 97030",45.5056854,-122.4760248
1849,"Kenco LLC., Lincoln, MT 59639",,,,A truck driver securing a load of logs was struck in the head by a loose log.,04/02/11,,,03/26/11,"Kenco LLC., Lincoln, MT 59639",46.9549402,-112.6817071
1850,"NYS Police Clarence LODD 2011, Clarence, NY 14031",,,,Police trooper struck by a passing vehicle while conducting a traffic stop.,04/02/11,,,03/26/11,"NYS Police Clarence LODD 2011, Clarence, NY 14031",42.982216,-78.5770812
1851,"Pinnacle Foods Group LLC, Fort Madison, IA 52627",,,,Sanitation worker was killed after being pulled into auger while cleaning it.,04/02/11,,,03/26/11,"Pinnacle Foods Group LLC, Fort Madison, IA 52627",40.5760829,-91.437591
1852,"ABC Coke-Division of Drummond Company, Tarrant, AL 35217",,,,Worker was crushed between a coal hopper and Larry car while trying to open a coke oven chute.,04/02/11,,,03/27/11,"ABC Coke-Division of Drummond Company, Tarrant, AL 35217",33.578424,-86.78177699999999
1853,"Bed Bath & Beyond, Port Reading, NJ 07064",,,,Worker fell from a mobile ladder.,04/02/11,,,03/28/11,"Bed Bath & Beyond, Port Reading, NJ 07064",40.5675541,-74.2415499
1854,"Ceres Marine Terminals, Portsmouth, VA 23703",,,,Worker died after being struck by a forklift while directing the transport of a ship's hatch cover.,04/02/11,,,03/28/11,"Ceres Marine Terminals, Portsmouth, VA 23703",36.823745,-76.29717699999999
1855,"Dean Stevens, Dayton, OH 45414",,,,Worker performing building demolition activities was killed by fallen steel beam column supports.,04/02/11,,,03/28/11,"Dean Stevens, Dayton, OH 45414",39.8476384,-84.21734029999999
1856,"KTG USA LP, Memphis, TN 38107",,,,Park Service worker collapsed and died from possible smoke inhalation after fighting a fire.,04/02/11,,,03/28/11,"KTG USA LP, Memphis, TN 38107",35.1837222,-90.0422821
1857,"Sysco Guest Supply, LLC, Concord, NC 28027",,,,Worker died after being struck by falling boxes and falling 19 feet.,04/02/11,,,03/28/11,"Sysco Guest Supply, LLC, Concord, NC 28027",35.4232911,-80.65205689999999
1858,"All American Window Cleaning, Inc., Canyon, CA 92647",,,,Worker washing windows was electrocuted after making contact with a live wire.,04/02/11,,,03/29/11,"All American Window Cleaning, Inc., Canyon, CA 92647",33.632748,-117.89754
1859,"Com Ed, Crystal Lake, IL 60014",,,,Utility worker helping to move electric poles was killed when a portion of the pole fell on the worker's head.,04/02/11,,,03/29/11,"Com Ed, Crystal Lake, IL 60014",42.2549923,-88.2860299
1860,"Comfort World A/C and Heating, LLC, Scottsdale, AZ 85254",,,,Worker fell from ladder.,04/02/11,,,03/29/11,"Comfort World A/C and Heating, LLC, Scottsdale, AZ 85254",33.5987765,-111.9448265
1861,"Timberline Nursery Inc., Hillister, TX 77624",,,,Worker suffered blunt force head trauma after riding bicycle off a four-foot loading dock.,04/02/11,,,03/29/11,"Timberline Nursery Inc., Hillister, TX 77624",30.699202,-94.325862
1862,"Rebay, Marletta, OH 45750",,,,Worker was operating a skid steer on the ramp to a large running diesel trammel and was found inside the trammel.,04/02/11,,,03/30/11,"Rebay, Marletta, OH 45750",39.41535200000001,-81.45484359999999
1863,"Hilcorp Energy, Inc., Lafayette, LA 70506",,,,Worker performing wire line service was killed after a high pressure well valve burst in worker's face.,04/02/11,,,03/31/11,"Hilcorp Energy, Inc., Lafayette, LA 70506",30.162917,-92.1117957
1864,"Panduit Corp., Dekalb, IL 60115",,,,Worker was found in a forklift truck dead of an apparent heart attack.,04/02/11,,,03/31/11,"Panduit Corp., Dekalb, IL 60115",41.9029448,-88.7314111
1865,"American Metal Recyclin, Fontana, CA 92337",,,,Worker killed from gas inhalation during fire that began while using oxy/Acetylene to cut metal.,04/02/11,,,04/01/11,"American Metal Recyclin, Fontana, CA 92337",34.0507135,-117.4851072
1866,"Dal-Tile Corporation Raleigh, NC 27610",,,,Worker unloading crates of granite slabs was crushed after the wire rope holding the crates broke.,04/09/11,,,01/26/11,"Dal-Tile Corporation Raleigh, NC 27610",35.766331,-78.552195
1867,"Sanders Wood Products Molalla, OR 97038",,,,Worker died after being struck on the head by a piece of lumber that fell from a conveyer.,04/09/11,,,03/16/11,"Sanders Wood Products Molalla, OR 97038",45.1888652,-122.5886022
1868,"Carbide Industries, LLC Louisville, KY 40211",,,,Two workers were killed and one injured after an explosion in an industrial gas plant.,04/09/11,,,03/21/11,"Carbide Industries, LLC Louisville, KY 40211",38.2228318,-85.83527199999999
1869,"Dixon Electrical Systems & Contracting, Inc., Ashland, KY 41101",,,,Electrical worker died from burns and asphyxiation after a coke oven gas explosion.,04/09/11,,,03/31/11,"Dixon Electrical Systems & Contracting, Inc., Ashland, KY 41101",38.397643,-82.38770699999999
1870,"DME Enterprises, Bridge City, TX 77611",,,,"A welder working on top of a storage tank was killed when the tank exploded, throwing the worker to the ground.",04/09/11,,,03/31/11,"DME Enterprises, Bridge City, TX 77611",29.9999105,-93.8146526
1871,"Orion Drilling Company LLC Altair Rig #7, Catarina, TX 78836",,,,Worker died after being struck in the head from an 8-lb. bolt that fell 142 feet from a drilling rig.,04/09/11,,,04/01/11,"Orion Drilling Company LLC Altair Rig #7, Catarina, TX 78836",28.3455475,-99.61337879999999
1872,"Texas Barge & Boat Company, Inc., Freeport, TX 77451",,,,"Two workers, repairing a barge by cutting away its bottom plate, were killed by a flash fire.",04/09/11,,,04/02/11,"Texas Barge & Boat Company, Inc., Freeport, TX 77451",28.9015102,-95.3836451
1873,"Devon Severs dba We Show Up, Shamong, NJ 08088",,,,Worker cutting down dead trees was killed when struck by the tree's base.,04/09/11,,,04/04/11,"Devon Severs dba We Show Up, Shamong, NJ 08088",39.7775775,-74.7351513
1874,"Ornamental Plants Brentwood, CA 94513",,,,"An employer, operating a powered industrial truck, was killed after falling and being run over by the machine.",04/09/11,,,04/04/11,"Ornamental Plants Brentwood, CA 94513",37.9341399,-121.6967438
1875,"Diversified Transport, LLC., Baton Rouge, LA 70815",,,,Recycle collection worker was killed after being run over by the collection truck.,04/09/11,,,04/05/11,"Diversified Transport, LLC., Baton Rouge, LA 70815",30.4405408,-91.08649559999999
1876,"Veolia Water North America Operating Services LLC Gatlinburg, TN 37738",,,,Two waste water operators were killed after the front wall of basin collapsed in control room.,04/09/11,,,04/05/11,"Veolia Water North America Operating Services LLC Gatlinburg, TN 37738",35.7345874,-83.5217472
1877,"Freehold Cartage, Inc., Freehold, NJ 07728",,,,Worker was crushed between two trailers.,04/09/11,,,04/06/11,"Freehold Cartage, Inc., Freehold, NJ 07728",40.2508844,-74.2509054
1878,"Michels Pipeline, Livingston, WI 53554",,,,Worker was electrocuted while installing a new set of power lines next to existing lines.,04/09/11,,,04/06/11,"Michels Pipeline, Livingston, WI 53554",42.8999924,-90.4309595
1879,"E & A Construction Chattanooga, TN 37421",,,,Worker was killed after falling through a sky light while removing rubber roofing.,04/09/11,,,04/08/11,"E & A Construction Chattanooga, TN 37421",35.0656012,-85.19644579999999
1880,"Eller-I.T.O. Stevedoring Company L.L.C., Miami, FL 33132",,,,Worker was struck and killed by a falling refrigerated container.,04/16/11,,,03/30/11,"Eller-I.T.O. Stevedoring Company L.L.C., Miami, FL 33132",25.7787063,-80.1779954
1881,"Macy's Department Store, Atlanta, GA 30326",,,,A department store worker died after tripping over the leg of fixture and hitting his head on the tiled floor.,04/16/11,,,04/01/11,"Macy's Department Store, Atlanta, GA 30326",33.847831,-84.362211
1882,"Union Roofing, Inc., Bloomington, IL 61701",,,,Worker repairing a metal roof died after falling eight feet from a ladder to the concrete ground.,04/16/11,,,04/01/11,"Union Roofing, Inc., Bloomington, IL 61701",40.4681645,-88.981628
1883,"Tom Nelson Painting, Inc., Maitland, FL 32751",,,,A worker using an aerial lift to spray paint a structure's ceiling was killed after falling nearly 60 feet from the lift's basket.,04/16/11,,,04/03/11,"Tom Nelson Painting, Inc., Maitland, FL 32751",28.66860239999999,-81.4182526
1884,"Ayres Associates, Inc., Jacksonville, FL 32257",,,,Worker conducting a traffic survey was electrocuted when the worker's bucket truck contacted an overhead power line.,04/16/11,,,04/04/11,"Ayres Associates, Inc., Jacksonville, FL 32257",30.1928508,-81.5772145
1885,"City of Chicago Police Dept Chicago, IL 60643",,,,Worker died after suffering respiratory failure from inhaling a cleaning substance.,04/16/11,,,04/04/11,"City of Chicago Police Dept Chicago, IL 60643",41.6915613,-87.6688638
1886,"Madison Livestock Market, Inc., Madison, FL 32341",,,,Worker died from an apparent heart attack while corraling livestock onto a trailer.,04/16/11,,,04/04/11,"Madison Livestock Market, Inc., Madison, FL 32341",30.3988671,-83.3584152
1887,"Resourceful Environmental Services, Inc., Cleveland, MS 38732-2109",,,,"Truck driver, who was operating levers to cover the truck's dumpster, was electrocuted when the tarping arm contacted a 7800-volt overhead power line.",04/16/11,,,04/05/11,"Resourceful Environmental Services, Inc., Cleveland, MS 38732-2109",33.7571929,-90.7182552
1888,"United Fire Protection, Inc., Lake Placid, FL 33610",,,,Two workers filling a water storage tank and replacing a fire pump system were crushed when the building collapsed after the storage tank exploded.,04/16/11,,,04/07/11,"United Fire Protection, Inc., Lake Placid, FL 33610",27.881482,-82.675128
1889,"Colonial Terminals, Inc., Savannah, GA 31415",,,,Worker died from burns after a tanker truck filled with toluene caught fire and exploded.,04/16/11,,,04/08/11,"Colonial Terminals, Inc., Savannah, GA 31415",32.095308,-81.110916
1890,"Security Lumber & Supply Company, Bradley, IL 60915",,,,Worker repairing a roof truss machine was crushed between a gantry table press and a finish roller.,04/16/11,,,04/08/11,"Security Lumber & Supply Company, Bradley, IL 60915",41.1454805,-87.8598861
1891,"Helen of Troy, Southhaven, MS 38672",,,,"Worker, who suffered a leg injury while operating a forklift truck, later died from complications from the injury.",04/16/11,,,04/09/11,"Helen of Troy, Southhaven, MS 38672",34.9341033,-89.9299949
1892,"City of Rochelle Rochelle Municipal Utilities Rochelle, IL 61068",,,,Worker electrocuted while troubleshooting a power outage on a 4K phase-to-phase line.,04/16/11,,,04/10/11,"City of Rochelle Rochelle Municipal Utilities Rochelle, IL 61068",41.9225794,-89.0660521
1893,"Pratt Paper LA., LLC., Shreveport, LA 71115",,,,"Worker moving bails of paper was crushed when the forklift tipped over, causing the passenger cage to fall on top of the worker.",04/16/11,,,04/10/11,"Pratt Paper LA., LLC., Shreveport, LA 71115",32.3760639,-93.6391168
1894,"Ecology Auto Parts Inc. Santa Fe Springs, CA 90670",,,,Truck driver was killed after being pinned between the truck's underbody and tire.,04/16/11,,,04/11/11,"Ecology Auto Parts Inc. Santa Fe Springs, CA 90670",33.914473,-118.040961
1895,"Kitchens by Rutenschroer Louisville, KY 40218",,,,Warehouse worker using overhead crane to move stone slabs died after being crushed between two slabs.,04/16/11,,,04/11/11,"Kitchens by Rutenschroer Louisville, KY 40218",38.1891095,-85.6588999
1896,"Monshan Partners, Inc., Arcola, IL 61910",,,,Worker was struck by a train while crossing railroad tracks to enter a nearby warehouse.,04/16/11,,,04/11/11,"Monshan Partners, Inc., Arcola, IL 61910",39.6857592,-88.30787400000001
1897,"RDA Service Company, Inc., Webb, AL 36376",,,,Worker trimming trees died after falling 50 feet from an aerial bucket.,04/16/11,,,04/11/11,"RDA Service Company, Inc., Webb, AL 36376",31.2587242,-85.2743158
1898,"Southland Contracting, Inc., Webster, NY 14580",,,,Worker was killed after falling onto a conveyor inside a tunnel.,04/16/11,,,04/11/11,"Southland Contracting, Inc., Webster, NY 14580",43.27578,-77.39378099999999
1899,"Stidham Construction Kingsburg, CA 93631",,,,"Worker installing insulation in a barn died after stepping between the personnel lifting equipment and roofing, falling 30 feet to concrete floor.",04/16/11,,,04/11/11,"Stidham Construction Kingsburg, CA 93631",36.4903097,-119.5339711
1900,"Great Southern Dredging Inc., New Orleans, LA 70129",,,,Worker using flange and bolts to connect water pump tubing was killed after being struck by the pump's intake tubing.,04/16/11,,,04/12/11,"Great Southern Dredging Inc., New Orleans, LA 70129",30.366604,-90.0906969
1901,"Valley Tree Services Manteca, CA 95336",,,,Worker crushed after stepping behind trailer he was guiding for his son.,04/16/11,,,04/12/11,"Valley Tree Services Manteca, CA 95336",37.8277932,-121.0295013
1902,"Austin Distributing, San Antonio, TX 78253",,,,"Worker fixing a hydraulic fluid leak was killed after the front end loader collapsed, pinning the worker between the machine and the loader's bucket.",04/16/11,,,04/13/11,"Austin Distributing, San Antonio, TX 78253",29.48366399999999,-98.383674
1903,"Planter Service, Helena, AR 72342",,,,Worker applying herbicides to fields died after exposure to toxic chemicals.,04/16/11,,,04/13/11,"Planter Service, Helena, AR 72342",34.4157698,-90.68134789999999
1904,"Dole Fresh Fruit, Fort Lauderdale, FL 33016",,,,Worker was killed after being pinned between a tractor trailer and a container.,04/16/11,,,04/14/11,"Dole Fresh Fruit, Fort Lauderdale, FL 33016",26.0815482,-80.1195986
1905,"Arklahoma Pipeline Inc., Van Buren, AR 72956",,,,Worker died after a 544-lb. pipe worker was unloading rolled off a trailer causing worker to fall from the platform.,04/23/11,,,01/24/11,"Arklahoma Pipeline Inc., Van Buren, AR 72956",35.45904,-94.43474599999999
1906,"Tahoe Forest Hospital, Truckee, CA 96160",,,,Hospital worker died of sepsis from methicillin-resistant Staphylococcus aureus (MRSA). Previously had work-related back injury before admitted to hospital. Unknown if work-related.,04/23/11,,,03/25/11,"Tahoe Forest Hospital, Truckee, CA 96160",39.325038,-120.200699
1907,"Miami Transmission Parts, Hialeah, FL 33012",,,,Worker moving inventory while on a ladder died after collapsing and falling nearly 8 feet.,04/23/11,,,04/13/11,"Miami Transmission Parts, Hialeah, FL 33012",25.8385787,-80.29781229999999
1908,"United States Postal Service Pawnee, OK 74058",,,,Worker was delivering mail on foot and was struck by a train.,04/23/11,,,04/14/11,"United States Postal Service Pawnee, OK 74058",36.3393749,-96.80537969999999
1909,"Construction Tire Maintenance, Inc., Ocala, FL 34475",,,,Worker removing tires from underneath a front end loader was crushed when the block supporting the loader broke loose.,04/23/11,,,04/15/11,"Construction Tire Maintenance, Inc., Ocala, FL 34475",29.103636,-82.13994
1910,"CP Integrated Services, Oklahoma City, OK 73197",,,,Worker operating a skid steer was crushed by the equipment's arm.,04/23/11,,,04/16/11,"CP Integrated Services, Oklahoma City, OK 73197",35.4260049,-97.6317115
1911,"Stephen Mabry, Inc., Neptune Beach, FL 32266",,,,Worker painting the side of a house on a ladder died after the ladder slipped off the scaffold and crashed 15-feet to the ground.,04/23/11,,,04/16/11,"Stephen Mabry, Inc., Neptune Beach, FL 32266",30.322323,-81.398271
